timestamp,simulated_time_seconds,state,plate_temp_f,bin_temp_f,target_temp_f,cycle_count,chill_mode,compressor_1,compressor_2,condenser_fan,hot_gas_solenoid,water_valve,recirculating_pump,ice_cutter
2026-01-25T03:47:43.605Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:43.618Z,,ICE,46.06,46.06,-2.00,0,,1,1,1,0,0,0,1
2026-01-25T03:47:44.089Z,,ICE,38.41,45.95,-2.00,0,,1,1,1,0,0,0,1
2026-01-25T03:47:48.717Z,,ICE,38.41,45.95,-2.00,0,,1,1,1,0,0,0,1
2026-01-25T03:47:48.722Z,,ICE,38.41,45.95,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:47:50.867Z,,ICE,29.86,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:47:53.848Z,,ICE,29.86,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:47:53.855Z,,ICE,29.86,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:47:57.726Z,,ICE,24.69,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:47:58.852Z,,ICE,24.69,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:47:58.856Z,,ICE,24.69,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:47:58.864Z,,ICE,24.69,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:03.975Z,,ICE,24.69,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:03.983Z,,ICE,24.69,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:04.525Z,,ICE,23.45,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:08.968Z,,ICE,23.45,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:08.973Z,,ICE,23.45,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:08.977Z,,ICE,23.45,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:08.986Z,,ICE,23.45,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:08.996Z,,ICE,23.45,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:09.007Z,,ICE,23.45,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:09.035Z,,ICE,23.45,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:11.295Z,,ICE,24.13,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:14.089Z,,ICE,24.13,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:14.094Z,,ICE,24.13,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:14.101Z,,ICE,24.13,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:14.108Z,,ICE,24.13,45.84,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:18.063Z,,ICE,25.48,45.73,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:19.125Z,,ICE,25.48,45.73,-2.00,0,,1,1,1,0,0,1,1
2026-01-25T03:48:19.137Z,,ICE,25.48,45.73,-2.00,0,,1,1,1,0,0,1,1
